Date,Close,High,Low,Open,Volume
2026-08-18,6275.67578125,6425.096633184524,6275.67578125,6350.3862072172615,114945500
2026-08-19,6275.67578125,6400.193157862103,6275.67578125,6275.67578125,68105000
2026-08-20,6375.28955078125,6375.28955078125,6275.675651550293,6325.4826011657715,67749800
2026-08-21,6425.0966796875,6450.000155190165,6375.289728682171,6375.289728682171,100684300
2026-08-24,6375.28955078125,6425.0965003967285,6325.4826011657715,6425.0965003967285,81295600
2026-08-26,6325.482421875,6425.096318282481,6325.482421875,6425.096318282481,86115900
2026-08-27,6375.28955078125,6400.193025588989,6300.579126358032,6325.4826011657715,60556000
2026-08-28,6450.0,6499.80694980695,6375.289575289576,6400.19305019305,156445200
2026-08-31,6475.0,6525.0,6400.0,6450.0,230904500
2026-09-01,6600.0,6600.0,6425.0,6450.0,117969900
2026-09-02,6675.0,6725.0,6600.0,6650.0,100935400
2026-09-03,6775.0,6800.0,6625.0,6700.0,112324100
2026-09-04,6700.0,6850.0,6675.0,6800.0,93923500
2026-09-07,6625.0,6750.0,6600.0,6750.0,65118000
2026-09-08,6675.0,6775.0,6575.0,6600.0,108127600
2026-09-09,6525.0,6700.0,6500.0,6700.0,193375100
2026-09-10,6425.0,6600.0,6425.0,6575.0,196819200
2026-09-11,6325.0,6400.0,6250.0,6400.0,187922700
2026-09-14,6500.0,6575.0,6275.0,6325.0,218017200
2026-09-15,6400.0,6500.0,6350.0,6500.0,95608200
2026-09-16,6325.0,6425.0,6325.0,6350.0,72157400
