Date,Close,High,Low,Open,Volume
2026-08-07,6350.38623046875,6425.096656709558,6300.579279641544,6350.38623046875,111930800
2026-08-10,6350.38623046875,6425.096656709558,6325.482755055147,6375.289705882353,88666100
2026-08-11,6275.67578125,6375.289682539683,6176.061879960317,6350.3862072172615,112490800
2026-08-12,6325.482421875,6325.482421875,6200.96505136565,6275.67547367126,87177100
2026-08-13,6350.38623046875,6350.38623046875,6225.868853400735,6325.482755055147,83208000
2026-08-14,6325.482421875,6325.482421875,6250.77199956939,6275.67547367126,56953500
2026-08-18,6275.67578125,6425.096633184524,6275.67578125,6350.3862072172615,114945500
2026-08-19,6275.67578125,6400.193157862103,6275.67578125,6275.67578125,68105000
2026-08-20,6375.28955078125,6375.28955078125,6275.675651550293,6325.4826011657715,67749800
2026-08-21,6425.0966796875,6450.000155190165,6375.289728682171,6375.289728682171,100684300
2026-08-24,6375.28955078125,6425.0965003967285,6325.4826011657715,6425.0965003967285,81295600
2026-08-26,6325.482421875,6425.096318282481,6325.482421875,6425.096318282481,86115900
2026-08-27,6375.28955078125,6400.193025588989,6300.579126358032,6325.4826011657715,60556000
2026-08-28,6450.0,6499.80694980695,6375.289575289576,6400.19305019305,156445200
2026-08-31,6475.0,6525.0,6400.0,6450.0,230904500
2026-09-01,6600.0,6600.0,6425.0,6450.0,117969900
2026-09-02,6675.0,6725.0,6600.0,6650.0,100935400
2026-09-03,6775.0,6800.0,6625.0,6700.0,112324100
2026-09-04,6700.0,6850.0,6675.0,6800.0,93923500
2026-09-07,6625.0,6750.0,6600.0,6750.0,65118000
