Date,Close,Previous Close,Daily Gain,Daily Return,MA_5,MA_20,Trend,Distance_MA20,MA20_Category
2026-08-18,4150.0,,,,,,No Signal,,No Signal
2026-08-19,4140.0,4150.0,-10.0,-0.24096385542168677,,,No Signal,,No Signal
2026-08-20,4150.0,4140.0,10.0,0.24154589371980675,,,No Signal,,No Signal
2026-08-21,4220.0,4150.0,70.0,1.6867469879518073,,,No Signal,,No Signal
2026-08-24,4200.0,4220.0,-20.0,-0.47393364928909953,4172.0,,No Signal,,No Signal
2026-08-25,4200.0,4200.0,0.0,0.0,4182.0,,No Signal,,No Signal
2026-08-26,4160.0,4200.0,-40.0,-0.9523809523809524,4186.0,,No Signal,,No Signal
2026-08-27,4210.0,4160.0,50.0,1.201923076923077,4198.0,,No Signal,,No Signal
2026-08-28,4250.0,4210.0,40.0,0.9501187648456058,4204.0,,No Signal,,No Signal
2026-08-31,4230.0,4250.0,-20.0,-0.4705882352941176,4210.0,,No Signal,,No Signal
2026-09-01,4320.0,4230.0,90.0,2.127659574468085,4234.0,,No Signal,,No Signal
2026-09-02,4360.0,4320.0,40.0,0.9259259259259258,4274.0,,No Signal,,No Signal
2026-09-03,4460.0,4360.0,100.0,2.293577981651376,4324.0,,No Signal,,No Signal
2026-09-04,4420.0,4460.0,-40.0,-0.8968609865470852,4358.0,,No Signal,,No Signal
2026-09-07,4390.0,4420.0,-30.0,-0.6787330316742082,4390.0,,No Signal,,No Signal
2026-09-08,4430.0,4390.0,40.0,0.9111617312072893,4412.0,,No Signal,,No Signal
2026-09-09,4390.0,4430.0,-40.0,-0.9029345372460496,4418.0,,No Signal,,No Signal
2026-09-10,4370.0,4390.0,-20.0,-0.45558086560364464,4400.0,,No Signal,,No Signal
2026-09-11,4360.0,4370.0,-10.0,-0.2288329519450801,4388.0,,No Signal,,No Signal
2026-09-14,4440.0,4360.0,80.0,1.834862385321101,4398.0,4292.5,Above MA20,3.43622597553873,Far Above MA20
2026-09-15,4340.0,4440.0,-100.0,-2.2522522522522523,4380.0,4302.0,Above MA20,0.8833100883310088,Near MA20
